Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	1162.0	1162.0	1162.0		937.0	937.0	937.0	0.003291
	1200.0	1200.0	1200.0		900.0	900.0	900.0	0.007874
	1237.0	1237.0	1237.0		862.0	862.0	862.0	0.01759
	1275.0	1275.0	1275.0		825.0	825.0	825.0	0.03237
	1312.0	1312.0	1312.0		787.0	787.0	787.0	0.03752
	1350.0	1350.0	1350.0		750.0	750.0	750.0	0.05133
	1387.0	1387.0	1387.0		712.0	712.0	712.0	0.06956
	1425.0	1425.0	1425.0		675.0	675.0	675.0	0.0744
	1462.0	1462.0	1462.0		637.0	637.0	637.0	0.07564
	1500.0	1500.0	1500.0		600.0	600.0	600.0	0.0824
	1537.0	1537.0	1537.0		562.0	562.0	562.0	0.09762
	1575.0	1575.0	1575.0		525.0	525.0	525.0	0.09945
	1612.0	1612.0	1612.0		487.0	487.0	487.0	0.1065
	1650.0	1650.0	1650.0		450.0	450.0	450.0	0.1236
	1687.0	1687.0	1687.0		412.0	412.0	412.0	0.1059
	1725.0	1725.0	1725.0		375.0	375.0	375.0	0.118
	1762.0	1762.0	1762.0		337.0	337.0	337.0	0.1285
	1800.0	1800.0	1800.0		300.0	300.0	300.0	0.1239
	1137.0	1137.0	1137.0		1112.0	1112.0	1112.0	3.491E-5
