#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.023349,800.0,2.6494e-09,1.4307e-09,-1.4307e-09
0.026685,800.0,1.4119e-08,7.2082e-09,-7.2082e-09
0.030021,800.0,5.2186e-08,2.5271e-08,-2.5271e-08
0.033356,800.0,1.4934e-07,6.8755e-08,-6.8755e-08
0.066713,800.0,1.9585e-05,5.9884e-06,-5.9884e-06
0.10007,800.0,0.00011203,2.6441e-05,-2.6441e-05
0.13343,800.0,0.00028056,5.6026e-05,-5.6026e-05
0.16678,800.0,0.00049778,8.8464e-05,-8.8464e-05
0.20014,800.0,0.00073796,0.00012076,-0.00012076
0.23349,800.0,0.00098296,0.00015197,-0.00015197
0.26685,800.0,0.0012213,0.00018192,-0.00018192
0.30021,800.0,0.0014462,0.00021066,-0.00021066
0.33356,800.0,0.0016542,0.00023826,-0.00023826
0.66713,800.0,0.0024932,0.00037795,-0.00037795
1.0007,800.0,0.0029558,0.00041318,-0.00041318
1.3343,800.0,0.0030384,0.0004089,-0.0004089
1.6678,800.0,0.0029705,0.00039175,-0.00039175
2.0014,800.0,0.0028453,0.00037096,-0.00037096
2.3349,800.0,0.0027021,0.00034994,-0.00034994
2.6685,800.0,0.0025579,0.00032996,-0.00032996
3.0021,800.0,0.0024198,0.00031144,-0.00031144
3.3356,800.0,0.0022909,0.00029448,-0.00029448
6.6713,800.0,0.001821,0.00052197,-0.00052197
10.007,800.0,0.0013326,0.00038093,-0.00038093
13.343,800.0,0.0010479,0.00029921,-0.00029921
16.678,800.0,0.00086267,0.00024618,-0.00024618
20.014,800.0,0.00073283,0.00020906,-0.00020906
23.349,800.0,0.00063685,0.00018163,-0.00018163
26.685,800.0,0.00056305,0.00016056,-0.00016056
30.021,800.0,0.00050454,0.00014386,-0.00014386
33.356,800.0,0.00045704,0.0001303,-0.0001303
66.713,800.0,0.00018243,8.2468e-05,-8.2468e-05
100.07,800.0,0.00012288,5.5595e-05,-5.5595e-05
133.43,800.0,9.2634e-05,4.1931e-05,-4.1931e-05
166.78,800.0,7.4337e-05,3.3658e-05,-3.3658e-05
200.14,800.0,6.2076e-05,2.8111e-05,-2.8111e-05
