## HSCPM5 efficiencies
## x	y	z	 effi
1605.0	600.0	430.0	0.537
1605.0	600.0	480.0	0.55
1605.0	650.0	340.0	0.481
1605.0	650.0	360.0	0.505
1605.0	650.0	380.0	0.531
1605.0	650.0	400.0	0.549
1605.0	650.0	430.0	0.576
1605.0	650.0	480.0	0.595
1605.0	650.0	640.0	0.601
1605.0	700.0	480.0	0.62
1605.0	700.0	640.0	0.647
1605.0	750.0	170.0	0.131
1605.0	750.0	640.0	0.666
1605.0	800.0	170.0	0.11
1605.0	800.0	200.0	0.188
1605.0	800.0	280.0	0.368
1605.0	800.0	300.0	0.412
1605.0	800.0	320.0	0.446
1605.0	800.0	340.0	0.481
1605.0	800.0	360.0	0.511
1605.0	800.0	380.0	0.546
1605.0	800.0	400.0	0.568
1605.0	800.0	430.0	0.604
1605.0	800.0	480.0	0.644
1605.0	800.0	640.0	0.686
1605.0	850.0	170.0	0.09
1605.0	850.0	200.0	0.161
1605.0	900.0	170.0	0.0685
1605.0	900.0	200.0	0.134
1605.0	950.0	170.0	0.0491
1605.0	950.0	200.0	0.106
1605.0	1000.0	170.0	0.0359
1605.0	1000.0	200.0	0.0818
1605.0	1050.0	170.0	0.0252
1605.0	1050.0	200.0	0.0626
1605.0	1050.0	240.0	0.139
1605.0	1100.0	170.0	0.0155
1605.0	1100.0	200.0	0.0448
1605.0	1100.0	240.0	0.114
1605.0	1100.0	280.0	0.21
1605.0	1100.0	300.0	0.264
1605.0	1100.0	320.0	0.311
1605.0	1100.0	340.0	0.366
